Brand,TotalSalesDollars,TotalPurchaseDollars,TotalSalesQuantity,TotalPurchaseQuantity,GrossProfit,ProfitMargin
1233,5101919.51,3811251.6,142049.0,145080,1290667.9099999997,25.297692514949137
3405,4819073.49,3804041.22,160247.0,164038,1015032.27,21.062809523579187
8068,4538120.6,3418303.68,187140.0,187407,1119816.9199999995,24.67578583081286
4261,4475972.88,3261197.94,200412.0,201682,1214774.94,27.139908408024134
3545,4223107.62,3023206.01,135838.0,138109,1199901.6100000003,28.41276420040653
3858,3383912.4,2466635.93,141860.0,138809,917276.4699999997,27.106980369822804
2589,2773367.73,2177285.08,69627.0,70783,596082.6499999999,21.493098212403297
3489,2640491.19,1903739.55,90481.0,91835,736751.6399999999,27.902067720968233
3102,2592041.35,2088334.84,148265.0,161386,503706.51,19.43281151745515
1376,2435393.39,1773427.14,107061.0,108866,661966.2500000002,27.18108099981335
6570,2326007.78,1460072.3599999999,214238.0,215668,865935.4199999999,37.2283974045865
2663,2189368.78,1478001.42,70122.0,69001,711367.3599999999,32.49189293728761
2585,2148965.53,1530426.1,91247.0,93205,618539.4299999997,28.78312478097309
8082,2068091.16,1396130.77,65184.0,64249,671960.3899999999,32.49181675337754
3650,2009508.61,1452173.31,41639.0,42951,557335.3,27.734904803418587
8680,1884307.34,1373128.48,47966.0,47546,511178.8600000001,27.128210411789834
5364,1844950.29,1399080.15,59771.0,60645,445870.14000000013,24.167054387140162
2757,1840615.67,1498161.96,61433.0,66942,342453.70999999996,18.605389250000247
3348,1766391.1199999999,1283470.62,56888.0,57349,482920.49999999977,27.339386760504087
2753,1739044.28,1414552.92,28372.0,31596,324491.3600000001,18.659177556997
126,1736610.87,1205942.92,58013.0,59878,530667.9500000002,30.557677552715084
3857,1699669.55,1277758.76,32945.0,33388,421910.79000000004,24.823106938639928
4243,1657809.59,1106876.61,77041.0,76389,550932.98,33.2325849315421
4260,1635666.58,1317439.48,79042.0,79078,318227.1000000001,19.455499298640685
3512,1624366.6199999999,1193404.8,98938.0,101480,430961.81999999983,26.531068460394724
6654,1584665.41,1098336.0,38506.0,40380,486329.4099999999,30.68972206568199
2120,1554498.4,1190145.33,94960.0,97473,364353.06999999983,23.438626247540675
8159,1549701.9,1163442.72,58610.0,59088,386259.17999999993,24.924740687225068
42188,1533634.52,1014484.29,29498.0,29829,519150.23,33.850974481195166
8112,1528730.27,1208990.72,61323.0,61936,319739.55000000005,20.91536723479676
8512,1456174.78,1073853.44,73122.0,72952,382321.3400000001,26.255182087413992
3802,1408627.78,1034996.38,74722.0,77066,373631.4,26.524494639740816
3505,1355204.97,953554.24,70603.0,69299,401650.73,29.63763702844153
3826,1327401.1199999999,1029112.6799999999,64388.0,65382,298288.43999999994,22.471612800808842
4227,1323223.53,967725.98,75147.0,68294,355497.55000000005,26.866023913586247
5734,1293182.98,975128.98,60102.0,61639,318054.0,24.594663316710218
1232,1255188.94,843206.76,53206.0,52932,411982.17999999993,32.82232394431391
3876,1210481.34,710919.9,64266.0,50962,499561.44000000006,41.26965228559409
3423,1177834.38,980963.75,44762.0,46163,196870.6299999999,16.71462756928524
5138,1174428.36,976289.4,84289.0,87954,198138.96000000008,16.871098037857333
11219,1095045.04,675453.2,78392.0,80030,419591.8400000001,38.31731341388479
5103,1093841.67,757553.72,43533.0,44198,336287.94999999995,30.743750144387892
1385,1034144.85,839431.6,37615.0,41048,194713.25,18.828431046192417
6682,1016328.61,612328.41,101339.0,101547,404000.19999999995,39.750942364989605
2432,967005.94,736897.87,41506.0,41893,230108.06999999995,23.795931387970583
2114,948838.57,689066.07,72043.0,73227,259772.5,27.377944806775723
6937,945345.02,599076.0,87974.0,88752,346269.02,36.628851125698006
811,937915.36,645871.36,32064.0,32554,292044.0,31.137564481298185
5365,932815.85,720971.72,48615.0,48583,211844.13,22.710176933635935
6967,923055.25,549995.73,46511.0,46257,373059.52,40.415730261000085
3522,914148.49,691668.38,70351.0,71899,222480.11,24.337414811022658
8000,910688.8999999999,742435.64,13210.0,13759,168253.2599999999,18.475382756943663
2443,902489.5399999999,642375.92,47446.0,47654,260113.61999999988,28.82178778493099
2127,899110.55,624717.53,86195.0,86887,274393.02,30.51827386521046
38370,890334.41,600612.6,90267.0,91140,289721.81000000006,32.540785433643975
3913,875307.95,692308.68,47805.0,48481,182999.2699999999,20.906844271207625
4262,862422.9,610436.88,55710.0,54552,251986.02000000002,29.218382304087704
